"date","value","topic","variable_oldname","variable_short","variable_long","location","unit","source","update","public","description"
2020-02-20,2905,"Wirtschaft","davon kontaktlos ausgelöst","anz_kktrans_ch_praes_contactless","Anzahl kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-20,351,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_praes","Betrag Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-20,132,"Wirtschaft","davon kontaktlos ausgelöst","betrag_kktrans_ch_praes_contactless","Betrag kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-20,1649,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-20,130,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-20,1968,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ausl_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-20,198,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-27,6512,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch","Anzahl Kreditkarten-Transaktionen im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-27,477,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch","Betrag Kreditkarten-Transaktionen im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-27,3660,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kkrans_ausl","Anzahl Kreditkarten-Transaktionen im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-27,333,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl","Betrag Kreditkarten-Transaktionen im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-27,4921,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_praes","Anzahl Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-27,2805,"Wirtschaft","davon kontaktlos ausgelöst","anz_kktrans_ch_praes_contactless","Anzahl kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-27,353,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_praes","Betrag Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-27,135,"Wirtschaft","davon kontaktlos ausgelöst","betrag_kktrans_ch_praes_contactless","Betrag kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-27,1590,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-27,124,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-27,2178,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ausl_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-02-27,196,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-05,6313,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch","Anzahl Kreditkarten-Transaktionen im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-05,441,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch","Betrag Kreditkarten-Transaktionen im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-05,3274,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kkrans_ausl","Anzahl Kreditkarten-Transaktionen im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-05,287,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl","Betrag Kreditkarten-Transaktionen im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-05,4739,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_praes","Anzahl Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-05,2778,"Wirtschaft","davon kontaktlos ausgelöst","anz_kktrans_ch_praes_contactless","Anzahl kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-05,325,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_praes","Betrag Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-05,128,"Wirtschaft","davon kontaktlos ausgelöst","betrag_kktrans_ch_praes_contactless","Betrag kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-05,1575,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-05,118,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-05,1974,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ausl_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-05,173,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-12,6192,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch","Anzahl Kreditkarten-Transaktionen im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-12,457,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch","Betrag Kreditkarten-Transaktionen im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-12,2714,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kkrans_ausl","Anzahl Kreditkarten-Transaktionen im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-12,202,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl","Betrag Kreditkarten-Transaktionen im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-12,4827,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_praes","Anzahl Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-12,2845,"Wirtschaft","davon kontaktlos ausgelöst","anz_kktrans_ch_praes_contactless","Anzahl kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-12,347,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_praes","Betrag Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-12,148,"Wirtschaft","davon kontaktlos ausgelöst","betrag_kktrans_ch_praes_contactless","Betrag kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-12,1364,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-12,111,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-12,1695,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ausl_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-12,117,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-19,4061,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch","Anzahl Kreditkarten-Transaktionen im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-19,300,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch","Betrag Kreditkarten-Transaktionen im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-19,2373,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kkrans_ausl","Anzahl Kreditkarten-Transaktionen im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-19,142,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl","Betrag Kreditkarten-Transaktionen im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-19,2902,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_praes","Anzahl Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-19,1727,"Wirtschaft","davon kontaktlos ausgelöst","anz_kktrans_ch_praes_contactless","Anzahl kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-19,166,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_praes","Betrag Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-19,75,"Wirtschaft","davon kontaktlos ausgelöst","betrag_kktrans_ch_praes_contactless","Betrag kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-19,1158,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-19,135,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-19,1751,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ausl_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-19,107,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-26,3880,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch","Anzahl Kreditkarten-Transaktionen im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-26,306,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch","Betrag Kreditkarten-Transaktionen im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-26,2415,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kkrans_ausl","Anzahl Kreditkarten-Transaktionen im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-26,154,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl","Betrag Kreditkarten-Transaktionen im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-26,2541,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_praes","Anzahl Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-26,1525,"Wirtschaft","davon kontaktlos ausgelöst","anz_kktrans_ch_praes_contactless","Anzahl kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-26,148,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_praes","Betrag Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-26,68,"Wirtschaft","davon kontaktlos ausgelöst","betrag_kktrans_ch_praes_contactless","Betrag kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-26,1338,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-26,158,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-26,1867,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ausl_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-03-26,126,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-04-02,4254,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch","Anzahl Kreditkarten-Transaktionen im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-04-02,343,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch","Betrag Kreditkarten-Transaktionen im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-04-02,2464,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kkrans_ausl","Anzahl Kreditkarten-Transaktionen im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-04-02,152,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl","Betrag Kreditkarten-Transaktionen im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-04-02,2812,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_praes","Anzahl Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-04-02,1696,"Wirtschaft","davon kontaktlos ausgelöst","anz_kktrans_ch_praes_contactless","Anzahl kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-04-02,170,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_praes","Betrag Kreditkarten-Transaktionen Präsenzgeschäft im Inland insgesamt","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-04-02,78,"Wirtschaft","davon kontaktlos ausgelöst","betrag_kktrans_ch_praes_contactless","Betrag kontaktlose Kreditkarten-Transaktionen Präsenzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-04-02,1441,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ch_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-04-02,174,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ch_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Inland","CH","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-04-02,1921,"Wirtschaft","Anzahl Transaktionen (in Tausend)","anz_kktrans_ausl_distanz","Anzahl Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Anzahl in Tausend","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
2020-04-02,125,"Wirtschaft","Betrag aller Transaktionen (in Mio CHF)","betrag_kktrans_ausl_distanz","Betrag Kreditkarten-Transaktionen Distanzgeschäft im Ausland","Ausland","Mio. Fr.","Swiss Payment Association","wöchentlich","no","https://github.com/statistikZH/covid19monitoring_economy_Kreditkarten"
